"game_date","game_time_start","away_team","away_points","home_team","home_points","season","game_code","home_rpm","away_rpm"
"2013-11-22","10:00p","Chicago Bulls",95,"Portland Trail Blazers",98,2014,"201311220POR",1.18183263888889,1.14170694444444
"2013-11-22","7:00p","Washington Wizards",88,"Toronto Raptors",96,2014,"201311220TOR",0.482104861111111,0.529024305555556
"2013-11-23","7:30p","Boston Celtics",94,"Atlanta Hawks",87,2014,"201311230ATL",0.677099305555556,-0.921802083333333
"2013-11-23","9:00p","Dallas Mavericks",100,"Denver Nuggets",102,2014,"201311230DEN",-0.308698611111111,0.855605555555556
"2013-11-23","10:30p","Portland Trail Blazers",113,"Golden State Warriors",101,2014,"201311230GSW",0.5634875,1.06511597222222
"2013-11-23","8:00p","Minnesota Timberwolves",101,"Houston Rockets",112,2014,"201311230HOU",0.85178125,1.47731597222222
"2013-11-23","7:00p","Philadelphia 76ers",98,"Indiana Pacers",106,2014,"201311230IND",1.27193819444444,-2.43718333333333
"2013-11-23","3:30p","Sacramento Kings",102,"Los Angeles Clippers",103,2014,"201311230LAC",2.09433402777778,-0.261299305555556
"2013-11-23","7:30p","Orlando Magic",99,"Miami Heat",101,2014,"201311230MIA",1.89675416666667,-1.86720625
"2013-11-23","8:30p","Charlotte Bobcats",96,"Milwaukee Bucks",72,2014,"201311230MIL",-2.70535208333333,-0.865777777777778
"2013-11-23","8:30p","Cleveland Cavaliers",96,"San Antonio Spurs",126,2014,"201311230SAS",1.24716875,-1.31453541666667
"2013-11-23","7:00p","New York Knicks",89,"Washington Wizards",98,2014,"201311230WAS",0.54114375,-0.15758125
"2013-11-24","2:00p","Detroit Pistons",109,"Brooklyn Nets",97,2014,"201311240BRK",0.296802777777778,-0.634472916666667
"2013-11-24","3:30p","Chicago Bulls",82,"Los Angeles Clippers",121,2014,"201311240LAC",1.10964375,-0.426040277777778
"2013-11-24","9:30p","Sacramento Kings",86,"Los Angeles Lakers",100,2014,"201311240LAL",-1.42573263888889,-0.513981944444444
"2013-11-24","7:00p","Utah Jazz",73,"Oklahoma City Thunder",95,2014,"201311240OKC",0.550173611111111,-1.75698611111111
"2013-11-24","6:00p","Phoenix Suns",104,"Orlando Magic",96,2014,"201311240ORL",-1.50855069444444,0.248201388888889
"2013-11-25","7:00p","Boston Celtics",96,"Charlotte Bobcats",86,2014,"201311250CHA",-0.502277777777778,-1.23399097222222
"2013-11-25","8:30p","Denver Nuggets",110,"Dallas Mavericks",96,2014,"201311250DAL",0.61534375,-0.596075694444445
"2013-11-25","7:30p","Milwaukee Bucks",94,"Detroit Pistons",113,2014,"201311250DET",-0.846159027777778,-2.54178194444444
"2013-11-25","7:00p","Minnesota Timberwolves",84,"Indiana Pacers",98,2014,"201311250IND",1.21009930555556,1.75013194444444
"2013-11-25","8:00p","Houston Rockets",93,"Memphis Grizzlies",86,2014,"201311250MEM",0.611986805555556,0.98305625
"2013-11-25","7:30p","Phoenix Suns",92,"Miami Heat",107,2014,"201311250MIA",1.17549513888889,0.354591666666667
